Jno,Name,Yubin,Address1,Address2,Kamoku1,Kamoku2,Kamoku3,Kamoku4,Kamoku5,Goukei,Junni
1001,山田太郎,100-0000,東京都千代田区,1-1-1,62,51,98,72,91,374,47
1002,佐藤花子,101-0001,東京都渋谷区,2-2-2,63,67,76,69,69,344,86
1003,鈴木一郎,102-0002,大阪府大阪市,3-3-3,50,63,52,90,50,305,99
1004,高橋美咲,103-0003,北海道札幌市,4-4-4,100,82,62,61,54,359,70
1005,伊藤健太,104-0004,愛知県名古屋市,5-5-5,94,65,61,67,76,363,64
1006,渡辺直子,105-0005,宮城県仙台市,6-6-6,63,96,71,59,70,359,70
1007,山本大輔,106-0006,広島県広島市,7-7-7,96,90,90,72,89,437,3
1008,中村優子,107-0007,福岡県福岡市,8-8-8,59,92,82,85,83,401,20
1009,小林翔太,108-0008,長野県長野市,9-9-9,63,61,100,80,50,354,77
1010,加藤愛,109-0009,石川県金沢市,10-10-10,89,92,90,50,89,410,14
1011,山田太郎,110-0000,東京都千代田区,11-11-11,95,91,65,85,72,408,16
1012,佐藤花子,111-0001,東京都渋谷区,12-12-12,63,89,80,89,98,419,10
1013,鈴木一郎,112-0002,大阪府大阪市,13-13-13,91,89,50,98,62,390,34
1014,高橋美咲,113-0003,北海道札幌市,14-14-14,100,82,80,68,96,426,7
1015,伊藤健太,114-0004,愛知県名古屋市,15-15-15,87,81,53,74,69,364,61
1016,渡辺直子,115-0005,宮城県仙台市,16-16-16,64,51,89,88,51,343,87
1017,山本大輔,116-0006,広島県広島市,17-17-17,86,99,82,87,69,423,8
1018,中村優子,117-0007,福岡県福岡市,18-18-18,76,73,99,67,61,376,46
1019,小林翔太,118-0008,長野県長野市,19-19-19,80,67,97,57,98,399,22
1020,加藤愛,119-0009,石川県金沢市,20-20-20,60,82,89,55,53,339,90
1021,山田太郎,120-0000,東京都千代田区,21-21-21,66,83,72,73,63,357,75
1022,佐藤花子,121-0001,東京都渋谷区,22-22-22,84,67,77,71,74,373,49
1023,鈴木一郎,122-0002,大阪府大阪市,23-23-23,100,65,72,83,66,386,37
1024,高橋美咲,123-0003,北海道札幌市,24-24-24,83,62,85,73,68,371,51
1025,伊藤健太,124-0004,愛知県名古屋市,25-25-25,52,95,80,68,57,352,79
1026,渡辺直子,125-0005,宮城県仙台市,26-26-26,52,67,63,95,93,370,53
1027,山本大輔,126-0006,広島県広島市,27-27-27,84,82,98,100,68,432,5
1028,中村優子,127-0007,福岡県福岡市,28-28-28,90,95,53,82,80,400,21
1029,小林翔太,128-0008,長野県長野市,29-29-29,68,86,83,100,51,388,35
1030,加藤愛,129-0009,石川県金沢市,30-30-30,100,81,92,75,80,428,6
1031,山田太郎,130-0000,東京都千代田区,31-31-31,75,94,100,56,90,415,11
1032,佐藤花子,131-0001,東京都渋谷区,32-32-32,68,90,64,57,79,358,73
1033,鈴木一郎,132-0002,大阪府大阪市,33-33-33,91,96,60,62,73,382,40
